feature,theta,kernel,kernel_label,param,param_value,n_params,weights,acc,acc_std,mae_ord,mae_ord_std,acc1,acc1_std,rmse,r2
eig,1.0,K1_lin,线性核,,,0,off,0.3700730567487005,0.009420193128561986,0.8616999817156241,0.017415262831019605,0.8050475122581855,0.00660262599603199,58.43660114109241,0.6454759017215432
eig,1.0,K2_cap,香农容量核,,,0,off,0.3685511265260734,0.00942347255565533,0.8626819141728742,0.016983022105252293,0.8052929471605642,0.006187176238496478,58.39610623813627,0.6459692211276649
eig,1.0,K3_eesm,EESM指数核,beta_EESM,0.01,1,off,0.35981219523277985,0.007977412567792132,0.8750540124321702,0.013529343759798305,0.7969467502806236,0.005192503083999084,58.85339857455962,0.6404271013800154
eig,1.0,K3_eesm,EESM指数核,beta_EESM,0.0199526231496888,1,off,0.3602049296461328,0.007656153300448909,0.8756431140521996,0.013416615027240052,0.795915822445572,0.005595472283193838,58.9104570323682,0.6397312487023218
eig,1.0,K3_eesm,EESM指数核,beta_EESM,0.039810717055349734,1,off,0.36030312530245456,0.007985927263276444,0.8759377251271319,0.013176740102739339,0.7964558804758661,0.005544609159426505,58.87934064915322,0.6401091249886294
eig,1.0,K3_eesm,EESM指数核,beta_EESM,0.07943282347242814,1,off,0.36172688397472685,0.00797104081598272,0.8722555748363113,0.013702699000657351,0.798714260041431,0.006025769210443046,58.61688360062401,0.6433256220089156
eig,1.0,K3_eesm,EESM指数核,beta_EESM,0.15848931924611134,1,off,0.363150690858933,0.008729424025482905,0.8731391428954713,0.014987601587917848,0.7971923900837213,0.006321620742745789,58.70101814186935,0.6423012016901296
eig,1.0,K3_eesm,EESM指数核,beta_EESM,0.31622776601683794,1,off,0.36354337706035206,0.008306749715145516,0.8714207852012505,0.0159912666265726,0.79886168008224,0.007060046828656224,58.65919753995411,0.6427978814713081
eig,1.0,K3_eesm,EESM指数核,beta_EESM,0.630957344480193,1,off,0.36486907265912083,0.010246963430549233,0.8676896033736783,0.016201183556133585,0.8019053958916924,0.0061130532776606395,58.58980942942704,0.6436490181300601
eig,1.0,K3_eesm,EESM指数核,beta_EESM,1.2589254117941675,1,off,0.3648688798113853,0.008719141521635722,0.8652840930389079,0.014801964699357645,0.8043602149818344,0.007663924580802772,58.437707297189775,0.6454877894073364
eig,1.0,K3_eesm,EESM指数核,beta_EESM,2.5118864315095797,1,off,0.364721761095163,0.009760107415594688,0.8658730259171687,0.01757494555447111,0.8049002127472112,0.006520407576367917,58.39387517570408,0.6459924343028334
eig,1.0,K3_eesm,EESM指数核,beta_EESM,5.01187233627272,1,off,0.3674710225184685,0.009900235713518035,0.8658730500231357,0.017102783942905743,0.8027400047320012,0.006941114696766074,58.62165256167117,0.6432349884558641
eig,1.0,K3_eesm,EESM指数核,beta_EESM,10.0,1,off,0.3684039837038843,0.011428194841152425,0.8638601053599497,0.01834730300142066,0.804703773222634,0.005721284188149776,58.51757411589706,0.6445042092991938
eig,1.0,K3_eesm,EESM指数核,beta_EESM,19.952623149688787,1,off,0.36992582955562703,0.01030508613623831,0.8624363587406609,0.018023573850601934,0.8051457320204742,0.006833237265851051,58.51667926891356,0.6445048786862165
